study_ID;authors;year;country;age_class;age;m_or_s;social_class;rate;calc_surv_rate;se_or_ci
14;Person & Russell;2010;USA;NA;NA;M;NA;0.04 (0.05);0.96;SE
15;Pletscher et al.;1997;USA & Canada;Adults;> 3 yrs;S;NA;0.8;0.8;NA
15;Pletscher et al.;1997;USA & Canada;NA;< 3 yrs;S;NA;0.74;0.74;NA
15;Pletscher et al.;1997;USA & Canada;NA;NA;S;Disperser;0.66 (0.53-0.82);0.66;CI
15;Pletscher et al.;1997;USA & Canada;NA;NA;S;Resident;0.84 (0.77-0.92);0.84;CI
20;Webb et al.;2011;Canada;NA;NA;M;NA;0.35 +- 0.05;0.65;NA
20;Webb et al.;2011;Canada;NA;NA;M;NA;0.04 +- 0.03;0.96;NA
48;Cubaynes et al.;2014;USA;Yearling;1 yrs;S;NA;"0.79 (0.72; 0.84)";0.79;CI
48;Cubaynes et al.;2014;USA;Adult;2 yrs;S;NA;"0.76 (0.69; 0.83)";0.76;CI
48;Cubaynes et al.;2014;USA;Adult;3 yrs;S;NA;"0.79 (0.71; 0.86)";0.79;CI
48;Cubaynes et al.;2014;USA;Adult;4 yrs;S;NA;"0.80 (0.70; 0.88)";0.8;CI
48;Cubaynes et al.;2014;USA;Adult;5 yrs;S;NA;"0.78 (0.66; 0.87)";0.78;CI
48;Cubaynes et al.;2014;USA;Adult;6 yrs;S;NA;"0.85 (0.71; 0.92)";0.85;CI
48;Cubaynes et al.;2014;USA;Adult;7+ yrs;S;NA;"0.63 (0.52; 0.74)";0.63;CI
49;Mills, Patterson & Murray;2010;Canada;Pup;NA;S;NA;0.97 (0.951-0.990);0.97;CI
49;Mills, Patterson & Murray;2010;Canada;Pup;NA;S;NA;0.806 (0.699-0.930);0.81;CI
51;Stenglein et al.;2018;USA;NA;NA;S;NA;0.759 (0.0019);0.76;SD
32;Hefner & Geffen;1999;Israel;NA;NA;S;NA;0.81+-0.15;0.81;CI
