Authors;Year;Title;Journal;Country;Age class;Months old;CalculatedAgeClass;Mortality or Survival;Social class;Rate;Rate;calculated_rate;SE or CI (95%);Method;Notes;;;;;;;;;;;;;;;
Smith et al.;2010;Survival of Colonizing Wolves in the Northern Rocky Mountains of the United States, 1982-2004;The Journal of Wildlife Management;USA;Pups;< 12 months;Pups;S;NA;0.756 (0.635-0.899);0,756;0,756;CI;;GYA;;;;;;;;;;;;;;;
Smith et al.;2010;Survival of Colonizing Wolves in the Northern Rocky Mountains of the United States, 1982-2004;The Journal of Wildlife Management;USA;Pups;< 12 months;Pups;S;NA;0.889 (0.777-1.00);0,889;0,889;CI;;CID;;;;;;;;;;;;;;;
Smith et al.;2010;Survival of Colonizing Wolves in the Northern Rocky Mountains of the United States, 1982-2004;The Journal of Wildlife Management;USA;Non-pups;> 12 months;Adults;S;NA;0.680 (0.643-0.740);0,68;0,68;CI;;"NWMT; Non-pups= yearlings and adults";;;;;;;;;;;;;;;
Smith et al.;2010;Survival of Colonizing Wolves in the Northern Rocky Mountains of the United States, 1982-2004;The Journal of Wildlife Management;USA;Non-pups;> 12 months;Adults;S;NA;0.771 (0.737-0.806);0,771;0,771;CI;;"GYA; Non-pups= yearlings and adults";;;;;;;;;;;;;;;
Smith et al.;2010;Survival of Colonizing Wolves in the Northern Rocky Mountains of the United States, 1982-2004;The Journal of Wildlife Management;USA;Non-pups;> 12 months;Adults;S;NA;0.789 (0.750-0.829);0,789;0,789;CI;;"CID; Non-pups= yearlings and adults";;;;;;;;;;;;;;;
Peterson et al.;1984;WOLVES OF THE KENAI PENINSULA, ALASKA;Wildlife Monographs;USA;All;NA;All;S;ALL;0.67;0,67;0,67;;;;;;;;;;;;;;;;;;
Peterson et al.;1984;WOLVES OF THE KENAI PENINSULA, ALASKA;Wildlife Monographs;USA;Pups;5 months - unknown;Pups;S;NA;0.88;0,88;0,88;;;;;;;;;;;;;;;;;;
Peterson et al.;1984;WOLVES OF THE KENAI PENINSULA, ALASKA;Wildlife Monographs;USA;Adults;> 5 months;Adults;S;Territorial;0.73;0,73;0,73;;;;;;;;;;;;;;;;;;
Peterson et al.;1984;WOLVES OF THE KENAI PENINSULA, ALASKA;Wildlife Monographs;USA;Adults;> 5 months;Adults;S;Disperser;0.38;0,38;0,38;;;;;;;;;;;;;;;;;;
Ballard et al.;1987;ECOLOGY OF AN EXPLOITED WOLF POPULATION IN SOUTH-CENTRAL ALASKA;Wildlife Monographs;USA;Pups;0-12;Pups;S;NA;0.354 (0.13-0.60);0,354;0,354;range;Rates for entire year were computed by multiplying the first survival rates from May-October from Table 4;;;;;;;;;;;;;;;;
Ballard et al.;1987;ECOLOGY OF AN EXPLOITED WOLF POPULATION IN SOUTH-CENTRAL ALASKA;Wildlife Monographs;USA;Yearlings;déc-24;Yearlings;S;NA;0.681 (0.26-1.00);0,681;0,681;;;;;;;;;;;;;;;;;;
Ballard et al.;1987;ECOLOGY OF AN EXPLOITED WOLF POPULATION IN SOUTH-CENTRAL ALASKA;Wildlife Monographs;USA;Adults;24+;Adults;S;NA;0.591 (0.45-0.77);0,591;0,591;;;;;;;;;;;;;;;;;;
Ballard et al.;1987;ECOLOGY OF AN EXPLOITED WOLF POPULATION IN SOUTH-CENTRAL ALASKA;Wildlife Monographs;USA;All;All;All;S;NA;0.551;0,551;0,551;;;;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.16;0,16;0,84;;;Mortality total in military training areas (MTA), territory years: 103;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.13;0,13;0,87;;;MTA: traffic, territory years: 103;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0;0;1;;;MTA:poaching, territory years: 103;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.36;0,36;0,64;;;Mortality total in protected areas (PAs), territory years: 42;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.12;0,12;0,88;;;PAs: traffic, territory years: 42;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.14;0,14;0,86;;;PAs: poaching, territory years: 42;;;;;;;;;;;;;;;
Reinhardt et al.;2019;Military training areas facilitate the recolonization of wolves in Germany;Conservation Letters;Germany;All;All;All;M;NA;0.42;0,42;0,58;;;Other areas: total, territory years: 142;;;;;;;;;;;;;;;
