study_ID;authors;year;country;age_class;age_class_calc;age;m_or_s;social_class;rate;calc_surv_rate;se_or_ci
30;Reinhardt et al.;2019;Germany;All;All;NA;M;NA;0.16;0.84;NA
30;Reinhardt et al.;2019;Germany;All;All;NA;M;NA;0.36;0.64;NA
30;Reinhardt et al.;2019;Germany;All;All;NA;M;NA;0.42;0.58;NA
32;Hefner & Geffen;1999;Israel;Adults;Adults;NA;S;NA;0.81+-0.15;0.81;CI
44;Treves et al.;2017;USA;Yearling & Adult;All;>7.5 months;M;NA;18%+-10%;0.82;SD
44;Treves et al.;2017;USA;Yearling & Adult;All;>7.5 months;M;NA;47%+-19%;0.53;SD
45;Nowak & Myslajek;2016;Poland;Pup;Pups;< 7 months;S;NA;about 50%;0.5;NA
46;Marescot et al.;2011;France;All;All;NA;S;NA;0.839 (0.765-0.913);0.839;95%CI
48;Cubaynes et al.;2014;USA;Yearling;Yearlings;1 yrs;S;NA;"0.79 (0.72; 0.84)";0.79;CI
48;Cubaynes et al.;2014;USA;Adult;Adults;2 yrs;S;NA;"0.76 (0.69; 0.83)";0.76;CI
48;Cubaynes et al.;2014;USA;Adult;Adults;3 yrs;S;NA;"0.79 (0.71; 0.86)";0.79;CI
48;Cubaynes et al.;2014;USA;Adult;Adults;4 yrs;S;NA;"0.80 (0.70; 0.88)";0.8;CI
48;Cubaynes et al.;2014;USA;Adult;Adults;5 yrs;S;NA;"0.78 (0.66; 0.87)";0.78;CI
48;Cubaynes et al.;2014;USA;Adult;Adults;6 yrs;S;NA;"0.85 (0.71; 0.92)";0.85;CI
48;Cubaynes et al.;2014;USA;Adult;Adults;7+ yrs;S;NA;"0.63 (0.52; 0.74)";0.63;CI
49;Mills, Patterson & Murray;2010;Canada;Pup;Pups;NA;S;NA;0.97 (0.951-0.990);0.97;CI
49;Mills, Patterson & Murray;2010;Canada;Pup;Pups;NA;S;NA;0.806 (0.699-0.930);0.81;CI
51;Stenglein et al.;2018;USA;NA;All;NA;S;NA;0.759 (0.0019);0.76;SD
53;Bull et al.;2009;Norway;Pups;Pups;NA;S;NA;0.73 (1);0.73;SD
53;Bull et al.;2009;Norway;Pups;Pups;NA;S;NA;0.903;0.903;NA
53;Bull et al.;2009;Norway;Adult;Adults;2-8yrs;S;NA;0.83 (0.17);0.83;SD
53;Bull et al.;2009;Norway;Adult;Adults;2-8yrs;S;NA;0.903;0.903;NA
53;Bull et al.;2009;Norway;Adult;Adults;9 yrs;S;NA;0.40 (0.08);0.4;SD
53;Bull et al.;2009;Norway;Adult;Adults;10 yrs;S;NA;0.25 (0.05);0.25;SD
61;Chakrabarti et al.;2022;USA;Adult;Adults;>2yrs;S;NA;0.693 (0.055);0.693;SD
61;Chakrabarti et al.;2022;USA;Adult;Adults;>2yrs;S;NA;0.687 (0.056);0.687;SD
61;Chakrabarti et al.;2022;USA;Juvenile;Yearlings;<2yrs;S;NA;0.647 (0.085);0.647;SD
61;Chakrabarti et al.;2022;USA;Juvenile;Yearlings;<2yrs;S;NA;0.642 (0.074);0.642;SD
61;Chakrabarti et al.;2022;USA;All;All;NA;S;NA;0.67 (0.54, 0.79);0.67;CRI
63;Cubaynes et al.;2010;France;All;All;NA;S;NA;0.75 (0.54-0.94);0.75;95% CI
63;Cubaynes et al.;2010;France;All;All;NA;S;NA;0.90 (0.71-0.98);0.9;95% CI
