country_code;country_count
AUT;0
BLR;1
CAN;5
CZE;0
DEU;2
ESP;1
FIN;2
FRA;2
HRV;3
ISR;1
ITA;5
NOR;2
PAK;2
POL;3
PRT;0
RUS;1
SVN;0
SWE;1
USA;32
